Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
234.099	103.7583
234.257	103.7564
234.416	103.7544
234.576	103.7524
234.731	103.7504
234.888	103.7484
235.044	103.7465
235.199	103.7447
235.356	103.7429
235.510	103.7411
235.663	103.7393
235.818	103.7375
235.972	103.7358
236.128	103.7341
236.284	103.7323
236.442	103.7306
236.599	103.7288
236.755	103.7271
236.912	103.7253
237.068	103.7236
237.223	103.7219
237.378	103.7203
237.535	103.7185
237.692	103.7166
237.851	103.7148
238.008	103.7130
238.164	103.7113
238.318	103.7095
238.469	103.7078
238.623	103.7061
238.776	103.7043
238.927	103.7026
239.081	103.7009
239.239	103.6990
239.399	103.6972
239.558	103.6955
239.716	103.6936
239.873	103.6917
240.030	103.6899
240.185	103.6881
240.338	103.6863
240.488	103.6846
240.640	103.6828
240.791	103.6811
240.940	103.6795
241.090	103.6777
241.240	103.6759
241.390	103.6742
241.539	103.6725
241.687	103.6709
241.835	103.6694
241.981	103.6678
242.127	103.6660
242.275	103.6643
242.420	103.6626
242.568	103.6609
242.715	103.6593
242.874	103.6575
243.042	103.6558
243.215	103.6540
243.391	103.6523
243.565	103.6506
243.737	103.6488
243.909	103.6470
244.077	103.6452
244.244	103.6434
244.412	103.6417
244.577	103.6399
244.742	103.6381
244.907	103.6365
245.069	103.6348
245.230	103.6331
245.386	103.6314
245.544	103.6297
245.701	103.6280
245.859	103.6263
246.019	103.6245
246.174	103.6229
246.330	103.6211
246.486	103.6193
246.643	103.6175
246.797	103.6158
246.951	103.6141
247.105	103.6123
247.259	103.6106
247.412	103.6087
247.566	103.6070
247.718	103.6052
247.872	103.6035
248.024	103.6018
248.179	103.5999
248.333	103.5981
248.489	103.5963
248.647	103.5945
248.801	103.5929
248.955	103.5911
249.106	103.5894
249.260	103.5877
249.414	103.5860
249.568	103.5842
249.726	103.5823
249.882	103.5806
250.037	103.5789
250.193	103.5771
250.350	103.5754
250.507	103.5736
250.662	103.5718
250.816	103.5701
250.971	103.5684
251.125	103.5667
251.276	103.5649
251.425	103.5631
251.572	103.5613
251.722	103.5595
251.869	103.5575
252.015	103.5557
252.159	103.5539
252.303	103.5521
252.447	103.5503
252.594	103.5486
252.744	103.5468
252.892	103.5451
253.040	103.5434
253.190	103.5416
253.339	103.5398
253.490	103.5380
253.645	103.5362
253.797	103.5344
253.953	103.5326
254.110	103.5307
254.267	103.5289
254.421	103.5271
254.570	103.5253
254.719	103.5236
254.867	103.5217
255.015	103.5199
255.163	103.5180
255.308	103.5161
255.452	103.5142
255.600	103.5125
255.753	103.5108
255.905	103.5092
256.063	103.5074
256.219	103.5056
256.374	103.5038
256.525	103.5018
256.674	103.4999
256.823	103.4980
256.975	103.4962
257.128	103.4943
257.283	103.4925
257.437	103.4905
257.588	103.4886
