Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Time (min)	Weight % (%)
21.200	95.0836
21.217	95.0824
21.233	95.0807
21.250	95.0790
21.267	95.0796
21.283	95.0792
21.300	95.0750
21.317	95.0705
21.333	95.0697
21.350	95.0647
21.367	95.0580
21.383	95.0539
21.400	95.0502
21.417	95.0472
21.433	95.0420
21.450	95.0342
21.467	95.0288
21.483	95.0265
21.500	95.0282
21.517	95.0284
21.533	95.0295
21.550	95.0279
21.567	95.0232
21.583	95.0205
21.600	95.0160
21.617	95.0106
21.633	95.0027
21.650	94.9952
21.667	94.9919
21.683	94.9907
21.700	94.9911
21.717	94.9898
21.733	94.9874
21.750	94.9842
21.767	94.9795
21.783	94.9754
21.800	94.9715
21.817	94.9732
21.833	94.9708
21.850	94.9657
21.867	94.9612
21.883	94.9521
21.900	94.9491
21.917	94.9487
21.933	94.9454
21.950	94.9396
21.967	94.9331
21.983	94.9293
22.000	94.9254
22.017	94.9227
22.033	94.9217
22.050	94.9169
22.067	94.9090
22.083	94.9056
22.100	94.9058
22.117	94.9056
22.133	94.8988
22.150	94.8916
22.167	94.8883
22.183	94.8884
22.200	94.8872
22.217	94.8888
22.233	94.8867
22.250	94.8837
22.267	94.8822
22.283	94.8810
22.300	94.8775
22.317	94.8748
22.333	94.8698
22.350	94.8676
22.367	94.8630
22.383	94.8552
22.400	94.8544
22.417	94.8597
22.433	94.8580
22.450	94.8556
22.467	94.8535
22.483	94.8528
22.500	94.8510
22.517	94.8483
22.533	94.8448
22.550	94.8431
22.567	94.8374
22.583	94.8305
22.600	94.8266
22.617	94.8264
22.633	94.8246
22.650	94.8218
22.667	94.8182
22.683	94.8158
22.700	94.8122
22.717	94.8093
22.733	94.8096
22.750	94.8071
22.767	94.8021
22.783	94.7973
22.800	94.7918
22.817	94.7858
22.833	94.7830
22.850	94.7812
22.867	94.7763
22.883	94.7748
22.900	94.7756
22.917	94.7742
22.933	94.7735
22.950	94.7712
22.967	94.7662
22.983	94.7598
23.000	94.7547
23.017	94.7547
23.033	94.7550
23.050	94.7487
23.067	94.7449
23.083	94.7423
23.100	94.7435
23.117	94.7435
23.133	94.7379
23.150	94.7329
23.167	94.7305
23.183	94.7295
23.200	94.7298
23.217	94.7300
23.233	94.7291
23.250	94.7260
23.267	94.7212
23.283	94.7168
23.300	94.7111
23.317	94.7078
23.333	94.7085
23.350	94.7048
23.367	94.7009
23.383	94.6954
23.400	94.6921
23.417	94.6881
23.433	94.6902
23.450	94.6891
23.467	94.6841
23.483	94.6802
23.500	94.6795
23.517	94.6762
23.533	94.6709
23.550	94.6679
23.567	94.6661
23.583	94.6636
23.600	94.6626
23.617	94.6607
23.633	94.6581
23.650	94.6587
23.667	94.6567
23.683	94.6522
23.700	94.6516
23.717	94.6493
23.733	94.6472
23.750	94.6440
23.767	94.6392
23.783	94.6351
23.800	94.6331
23.817	94.6322
23.833	94.6311
23.850	94.6309
23.867	94.6283
23.883	94.6245
23.900	94.6218
23.917	94.6207
23.933	94.6200
23.950	94.6172
23.967	94.6133
23.983	94.6130
24.000	94.6135
24.017	94.6096
24.033	94.6084
24.050	94.6094
24.067	94.6078
24.083	94.6038
24.100	94.6001
24.117	94.5987
24.133	94.5959
24.150	94.5925
24.167	94.5921
24.183	94.5926
24.200	94.5874
24.217	94.5788
24.233	94.5747
24.250	94.5750
24.267	94.5756
24.283	94.5756
24.300	94.5740
24.317	94.5730
24.333	94.5713
24.350	94.5698
24.367	94.5650
24.383	94.5610
24.400	94.5629
24.417	94.5646
24.433	94.5617
24.450	94.5583
24.467	94.5551
24.483	94.5514
24.500	94.5504
24.517	94.5470
24.533	94.5435
24.550	94.5404
24.567	94.5400
24.583	94.5418
24.600	94.5411
24.617	94.5384
24.633	94.5347
24.650	94.5322
24.667	94.5305
24.683	94.5293
24.700	94.5270
24.717	94.5229
24.733	94.5198
24.750	94.5153
24.767	94.5130
24.783	94.5101
24.800	94.5070
24.817	94.5059
24.833	94.5041
24.850	94.5036
24.867	94.5053
24.883	94.5078
24.900	94.5061
24.917	94.5024
24.933	94.4976
24.950	94.4923
24.967	94.4897
24.983	94.4867
25.000	94.4809
25.017	94.4749
25.033	94.4755
25.050	94.4791
25.067	94.4813
25.083	94.4797
25.100	94.4769
25.117	94.4732
25.133	94.4707
25.150	94.4700
25.167	94.4705
25.183	94.4677
25.200	94.4639
25.217	94.4641
25.233	94.4622
25.250	94.4583
25.267	94.4552
25.283	94.4548
25.300	94.4551
25.317	94.4511
25.333	94.4479
25.350	94.4454
