Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8-10-16.tg1d

Time (min)	Weight (mg)
18.417	68.8872
18.433	68.8865
18.450	68.8887
18.467	68.8959
18.483	68.9070
18.500	68.9144
18.517	68.9175
18.533	68.9204
18.550	68.9299
18.567	68.9357
18.583	68.9389
18.600	68.9416
18.617	68.9444
18.633	68.9479
18.650	68.9545
18.667	68.9579
18.683	68.9605
18.700	68.9638
18.717	68.9696
18.733	68.9757
18.750	68.9814
18.767	68.9817
18.783	68.9841
18.800	68.9885
18.817	68.9867
18.833	68.9839
18.850	68.9886
18.867	68.9942
18.883	69.0022
18.900	69.0142
18.917	69.0215
18.933	69.0210
18.950	69.0161
18.967	69.0040
18.983	68.9838
19.000	68.9694
19.017	68.9666
19.033	68.9625
19.050	68.9601
19.067	68.9426
19.083	68.9258
19.100	68.9129
19.117	68.9200
19.133	68.9362
19.150	68.9505
19.167	68.9612
19.183	68.9697
19.200	68.9762
19.217	68.9809
19.233	68.9851
19.250	68.9890
19.267	68.9930
19.283	68.9973
19.300	69.0016
19.317	69.0042
19.333	68.9956
19.350	68.9937
19.367	68.9934
19.383	68.9988
19.400	69.0051
19.417	69.0106
19.433	69.0160
19.450	69.0214
19.467	69.0243
19.483	69.0278
19.500	69.0342
19.517	69.0409
19.533	69.0473
19.550	69.0531
19.567	69.0577
19.583	69.0609
19.600	69.0644
19.617	69.0681
19.633	69.0721
19.650	69.0754
19.667	69.0782
19.683	69.0805
19.700	69.0830
19.717	69.0861
19.733	69.0894
19.750	69.0934
19.767	69.0973
19.783	69.1005
19.800	69.1029
19.817	69.1045
19.833	69.1056
19.850	69.1070
19.867	69.1015
19.883	69.0743
19.900	69.0478
19.917	69.0295
19.933	69.0195
19.950	69.0148
19.967	69.0129
19.983	69.0120
20.000	69.0127
20.017	69.0137
20.033	69.0159
20.050	69.0188
20.067	69.0228
20.083	69.0264
20.100	69.0292
20.117	69.0305
20.133	69.0320
20.150	69.0336
20.167	69.0361
20.183	69.0450
20.200	69.0804
20.217	69.1204
20.233	69.1516
20.250	69.1724
20.267	69.1836
20.283	69.1715
20.300	69.1388
20.317	69.1095
20.333	69.0913
20.350	69.1017
20.367	69.1298
20.383	69.1558
20.400	69.1749
20.417	69.1875
20.433	69.1935
20.450	69.1948
20.467	69.1955
20.483	69.1972
20.500	69.1987
20.517	69.2001
20.533	69.2026
20.550	69.2058
20.567	69.2094
20.583	69.2131
20.600	69.2176
20.617	69.2215
20.633	69.1991
20.650	69.1688
20.667	69.1455
20.683	69.1314
20.700	69.1244
20.717	69.1226
20.733	69.1241
20.750	69.1278
20.767	69.1330
20.783	69.1393
20.800	69.1457
20.817	69.1528
20.833	69.1588
20.850	69.1642
20.867	69.1844
20.883	69.2223
20.900	69.2564
20.917	69.2810
20.933	69.2981
20.950	69.3101
20.967	69.3189
20.983	69.3260
21.000	69.3316
21.017	69.3353
21.033	69.3391
21.050	69.3435
21.067	69.3484
21.083	69.3539
21.100	69.3593
21.117	69.3634
21.133	69.3750
21.150	69.3690
21.167	69.3701
21.183	69.3751
21.200	69.3804
21.217	69.3856
21.233	69.3901
21.250	69.3943
21.267	69.4231
21.283	69.4319
21.300	69.4290
21.317	69.4244
21.333	69.4208
21.350	69.4190
21.367	69.4189
21.383	69.4182
21.400	69.4190
