Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8_8_16.tg1d

Time (min)	Weight % (%)
20.933	99.4145
20.950	99.4151
20.967	99.4158
20.983	99.4168
21.000	99.4176
21.017	99.4186
21.033	99.4197
21.050	99.4204
21.067	99.4212
21.083	99.4219
21.100	99.4225
21.117	99.4235
21.133	99.4249
21.150	99.4261
21.167	99.4266
21.183	99.4273
21.200	99.4280
21.217	99.4287
21.233	99.4296
21.250	99.4303
21.267	99.4310
21.283	99.4314
21.300	99.4322
21.317	99.4330
21.333	99.4337
21.350	99.4345
21.367	99.4350
21.383	99.4353
21.400	99.4360
21.417	99.4365
21.433	99.4374
21.450	99.4384
21.467	99.4388
21.483	99.4395
21.500	99.4398
21.517	99.4402
21.533	99.4408
21.550	99.4417
21.567	99.4427
21.583	99.4433
21.600	99.4442
21.617	99.4447
21.633	99.4455
21.650	99.4461
21.667	99.4462
21.683	99.4464
21.700	99.4467
21.717	99.4474
21.733	99.4483
21.750	99.4491
21.767	99.4501
21.783	99.4506
21.800	99.4511
21.817	99.4516
21.833	99.4520
21.850	99.4522
21.867	99.4526
21.883	99.4531
21.900	99.4537
21.917	99.4542
21.933	99.4546
21.950	99.4550
21.967	99.4554
21.983	99.4560
22.000	99.4564
22.017	99.4568
22.033	99.4572
22.050	99.4581
22.067	99.4587
22.083	99.4595
22.100	99.4604
22.117	99.4616
22.133	99.4627
22.150	99.4631
22.167	99.4632
22.183	99.4634
22.200	99.4638
22.217	99.4642
22.233	99.4645
22.250	99.4648
22.267	99.4653
22.283	99.4657
22.300	99.4663
22.317	99.4669
22.333	99.4674
22.350	99.4678
22.367	99.4682
22.383	99.4685
22.400	99.4687
22.417	99.4689
22.433	99.4694
22.450	99.4699
22.467	99.4706
22.483	99.4712
22.500	99.4717
22.517	99.4724
22.533	99.4730
22.550	99.4735
22.567	99.4736
22.583	99.4740
22.600	99.4746
22.617	99.4750
22.633	99.4756
22.650	99.4763
22.667	99.4767
22.683	99.4772
22.700	99.4776
22.717	99.4776
22.733	99.4781
22.750	99.4785
22.767	99.4792
22.783	99.4798
22.800	99.4802
22.817	99.4808
22.833	99.4814
22.850	99.4821
22.867	99.4826
22.883	99.4832
22.900	99.4835
22.917	99.4837
22.933	99.4838
22.950	99.4841
22.967	99.4843
22.983	99.4846
23.000	99.4850
23.017	99.4860
23.033	99.4864
23.050	99.4863
23.067	99.4862
23.083	99.4866
23.100	99.4874
23.117	99.4882
23.133	99.4891
23.150	99.4895
23.167	99.4898
23.183	99.4903
23.200	99.4904
23.217	99.4909
23.233	99.4910
23.250	99.4914
23.267	99.4920
23.283	99.4927
23.300	99.4936
23.317	99.4946
23.333	99.4951
23.350	99.4955
23.367	99.4957
23.383	99.4963
23.400	99.4966
23.417	99.4970
23.433	99.4972
23.450	99.4976
23.467	99.4980
23.483	99.4985
23.500	99.4988
23.517	99.4993
23.533	99.4996
23.550	99.4998
23.567	99.5003
23.583	99.5010
23.600	99.5018
23.617	99.5022
23.633	99.5030
23.650	99.5035
23.667	99.5039
23.683	99.5042
23.700	99.5048
23.717	99.5053
23.733	99.5057
23.750	99.5057
23.767	99.5063
23.783	99.5069
23.800	99.5074
23.817	99.5078
23.833	99.5083
23.850	99.5090
23.867	99.5096
23.883	99.5102
23.900	99.5105
23.917	99.5108
23.933	99.5115
23.950	99.5123
23.967	99.5133
23.983	99.5140
24.000	99.5143
24.017	99.5146
24.033	99.5149
24.050	99.5152
24.067	99.5156
24.083	99.5158
24.100	99.5162
24.117	99.5168
24.133	99.5176
24.150	99.5183
24.167	99.5189
24.183	99.5195
24.200	99.5200
24.217	99.5203
24.233	99.5206
24.250	99.5210
24.267	99.5218
24.283	99.5224
24.300	99.5229
24.317	99.5234
24.333	99.5237
24.350	99.5245
24.367	99.5253
24.383	99.5259
24.400	99.5263
24.417	99.5266
24.433	99.5272
24.450	99.5284
24.467	99.5294
24.483	99.5298
24.500	99.5302
24.517	99.5305
24.533	99.5307
24.550	99.5313
24.567	99.5323
24.583	99.5333
24.600	99.5340
24.617	99.5343
24.633	99.5341
24.650	99.5343
24.667	99.5344
24.683	99.5346
24.700	99.5354
24.717	99.5360
24.733	99.5371
24.750	99.5381
24.767	99.5390
24.783	99.5398
24.800	99.5408
24.817	99.5414
24.833	99.5419
24.850	99.5424
24.867	99.5426
24.883	99.5432
24.900	99.5440
24.917	99.5448
24.933	99.5452
24.950	99.5457
24.967	99.5458
24.983	99.5463
25.000	99.5469
25.017	99.5475
25.033	99.5482
25.050	99.5493
25.067	99.5502
25.083	99.5509
25.100	99.5519
25.117	99.5529
25.133	99.5539
25.150	99.5544
25.167	99.5551
25.183	99.5559
25.200	99.5564
25.217	99.5572
25.233	99.5581
25.250	99.5589
25.267	99.5596
25.283	99.5600
25.300	99.5608
25.317	99.5619
25.333	99.5627
