Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
219.486	71.8293
219.646	71.8262
219.806	71.8232
219.966	71.8201
220.125	71.8171
220.286	71.8139
220.445	71.8109
220.605	71.8078
220.766	71.8047
220.920	71.8016
221.080	71.7985
221.240	71.7955
221.397	71.7924
221.549	71.7893
221.701	71.7863
221.852	71.7832
222.003	71.7800
222.152	71.7769
222.299	71.7738
222.448	71.7708
222.597	71.7677
222.746	71.7645
222.897	71.7614
223.051	71.7584
223.208	71.7553
223.369	71.7522
223.529	71.7490
223.688	71.7459
223.844	71.7427
223.997	71.7397
224.153	71.7366
224.318	71.7335
224.485	71.7305
224.655	71.7274
224.825	71.7244
224.995	71.7213
225.162	71.7180
225.322	71.7149
225.481	71.7118
225.639	71.7087
225.797	71.7056
225.951	71.7026
226.105	71.6994
226.259	71.6961
226.413	71.6930
226.570	71.6900
226.726	71.6870
226.881	71.6839
227.034	71.6809
227.184	71.6778
227.338	71.6747
227.496	71.6716
227.655	71.6685
227.814	71.6654
227.972	71.6623
228.128	71.6592
228.286	71.6560
228.449	71.6529
228.612	71.6497
228.781	71.6466
228.945	71.6435
229.107	71.6404
229.266	71.6374
229.424	71.6344
229.576	71.6313
229.727	71.6281
229.881	71.6249
230.037	71.6216
230.195	71.6186
230.351	71.6158
230.513	71.6128
230.676	71.6097
230.838	71.6066
230.998	71.6035
231.159	71.6003
231.322	71.5972
231.483	71.5941
231.644	71.5911
231.803	71.5879
231.963	71.5849
232.119	71.5818
232.269	71.5786
232.419	71.5754
232.570	71.5723
232.719	71.5692
232.868	71.5661
233.017	71.5630
233.168	71.5599
233.320	71.5565
233.469	71.5536
233.619	71.5505
233.770	71.5473
233.924	71.5443
234.075	71.5411
234.229	71.5382
234.387	71.5351
234.548	71.5321
234.716	71.5291
234.882	71.5260
235.045	71.5229
235.203	71.5198
235.358	71.5167
235.510	71.5136
235.660	71.5106
235.807	71.5075
235.954	71.5043
236.107	71.5011
236.259	71.4980
236.411	71.4948
236.563	71.4917
236.717	71.4886
236.877	71.4856
237.034	71.4826
237.192	71.4795
237.346	71.4766
237.496	71.4737
237.644	71.4706
237.790	71.4675
237.944	71.4645
238.095	71.4615
238.251	71.4584
238.409	71.4553
238.567	71.4523
238.721	71.4493
238.876	71.4461
239.034	71.4430
239.191	71.4399
239.351	71.4369
239.509	71.4338
239.665	71.4308
239.824	71.4277
239.988	71.4248
240.149	71.4218
240.305	71.4187
240.458	71.4155
240.611	71.4125
240.763	71.4094
240.911	71.4064
241.058	71.4033
241.205	71.4002
241.353	71.3971
241.502	71.3939
241.650	71.3907
241.797	71.3877
241.948	71.3848
242.103	71.3818
242.255	71.3789
242.412	71.3759
242.569	71.3729
242.725	71.3698
242.880	71.3668
243.033	71.3637
243.186	71.3607
243.339	71.3577
243.490	71.3546
243.644	71.3514
243.798	71.3484
243.950	71.3453
244.109	71.3422
244.265	71.3391
244.420	71.3361
244.577	71.3331
244.737	71.3301
244.894	71.3270
245.052	71.3239
245.210	71.3208
245.372	71.3176
245.537	71.3146
245.700	71.3116
245.862	71.3086
246.020	71.3055
246.176	71.3024
246.330	71.2992
246.479	71.2961
246.624	71.2930
246.769	71.2898
246.912	71.2865
247.056	71.2834
247.199	71.2803
247.337	71.2773
247.474	71.2745
247.610	71.2716
247.757	71.2685
247.907	71.2655
248.063	71.2626
248.222	71.2598
248.374	71.2569
248.525	71.2541
248.681	71.2512
248.827	71.2484
